2019-01-13 19:13:36 ===== Starting: ShallowRedExperiment =====
2019-01-13 19:13:47 Run
2019-01-13 19:29:59 id = 1 (machine1); Seed = 89; Starting new sample
2019-01-13 19:30:29 id = 3 (machine1); Seed = 83; Done (0)
2019-01-13 19:30:29 id = 3 (machine1); Seed = 90; Starting new sample
2019-01-13 19:30:32 id = 5 (machine1); Seed = 86; Done (0)
2019-01-13 19:30:32 id = 5 (machine1); Seed = 91; Starting new sample
2019-01-13 19:30:53 id = 0 (machine1); Seed = 85; Done (0)
2019-01-13 19:30:53 id = 0 (machine1); Seed = 92; Starting new sample
2019-01-13 19:30:55 id = 4 (machine1); Seed = 88; Done (0)
2019-01-13 19:30:55 id = 4 (machine1); Seed = 93; Starting new sample
2019-01-13 19:30:57 id = 1 (machine1); Seed = 89; Done (0)
2019-01-13 19:30:57 id = 1 (machine1); Seed = 94; Starting new sample
2019-01-13 19:31:10 id = 2 (machine1); Seed = 87; Done (0)
2019-01-13 19:31:10 id = 2 (machine1); Seed = 95; Starting new sample
2019-01-13 19:31:11 id = 5 (machine1); Seed = 91; Done (0)
2019-01-13 19:31:11 id = 5 (machine1); Seed = 96; Starting new sample
2019-01-13 19:31:13 id = 3 (machine1); Seed = 90; Done (0)
2019-01-13 19:31:13 id = 3 (machine1); Seed = 97; Starting new sample
2019-01-13 19:31:48 id = 0 (machine1); Seed = 92; Done (0)
2019-01-13 19:31:48 id = 0 (machine1); Seed = 98; Starting new sample
2019-01-13 19:31:53 id = 1 (machine1); Seed = 94; Done (0)
2019-01-13 19:31:53 id = 1 (machine1); Seed = 99; Starting new sample
2019-01-13 19:31:55 id = 2 (machine1); Seed = 95; Done (0)
2019-01-13 19:31:55 id = 2 (machine1); Seed = 100; Starting new sample
2019-01-13 19:31:55 id = 4 (machine1); Seed = 93; Done (0)
2019-01-13 19:31:55 id = 4 (machine1); Seed = 101; Starting new sample
2019-01-13 19:32:17 id = 5 (machine1); Seed = 96; Done (0)
2019-01-13 19:32:18 id = 5 (machine1); Seed = 102; Starting new sample
2019-01-13 19:32:35 id = 3 (machine1); Seed = 97; Done (0)
2019-01-13 19:32:35 id = 3 (machine1); Seed = 103; Starting new sample
2019-01-13 19:32:37 id = 1 (machine1); Seed = 99; Done (0)
2019-01-13 19:32:37 id = 1 (machine1); Seed = 104; Starting new sample
2019-01-13 19:32:53 id = 2 (machine1); Seed = 100; Done (0)
2019-01-13 19:32:53 id = 2 (machine1); Seed = 105; Starting new sample
2019-01-13 19:33:01 id = 4 (machine1); Seed = 101; Done (0)
2019-01-13 19:33:01 id = 4 (machine1); Seed = 106; Starting new sample
2019-01-13 19:33:02 id = 5 (machine1); Seed = 102; Done (0)
2019-01-13 19:33:02 id = 5 (machine1); Seed = 107; Starting new sample
2019-01-13 19:33:03 id = 0 (machine1); Seed = 98; Done (0)
2019-01-13 19:33:03 id = 0 (machine1); Seed = 108; Starting new sample
2019-01-13 19:33:17 id = 3 (machine1); Seed = 103; Done (0)
2019-01-13 19:33:17 id = 3 (machine1); Seed = 109; Starting new sample
2019-01-13 19:33:41 id = 2 (machine1); Seed = 105; Done (0)
2019-01-13 19:33:41 id = 2 (machine1); Seed = 110; Starting new sample
2019-01-13 19:33:44 id = 0 (machine1); Seed = 108; Done (0)
2019-01-13 19:33:44 id = 0 (machine1); Seed = 111; Starting new sample
2019-01-13 19:33:49 id = 5 (machine1); Seed = 107; Done (0)
2019-01-13 19:33:49 id = 5 (machine1); Seed = 112; Starting new sample
2019-01-13 19:33:53 id = 1 (machine1); Seed = 104; Done (0)
2019-01-13 19:33:53 id = 1 (machine1); Seed = 113; Starting new sample
2019-01-13 19:34:07 id = 4 (machine1); Seed = 106; Done (0)
2019-01-13 19:34:07 id = 4 (machine1); Seed = 114; Starting new sample
2019-01-13 19:34:08 id = 3 (machine1); Seed = 109; Done (0)
2019-01-13 19:34:08 id = 3 (machine1); Seed = 115; Starting new sample
2019-01-13 19:34:43 id = 2 (machine1); Seed = 110; Done (0)
2019-01-13 19:34:43 id = 2 (machine1); Seed = 116; Starting new sample
2019-01-13 19:34:49 id = 5 (machine1); Seed = 112; Done (0)
2019-01-13 19:34:49 id = 5 (machine1); Seed = 117; Starting new sample
2019-01-13 19:35:02 id = 4 (machine1); Seed = 114; Done (0)
2019-01-13 19:35:02 id = 4 (machine1); Seed = 118; Starting new sample
2019-01-13 19:35:08 id = 0 (machine1); Seed = 111; Done (0)
2019-01-13 19:35:08 id = 0 (machine1); Seed = 119; Starting new sample
2019-01-13 19:35:12 id = 3 (machine1); Seed = 115; Done (0)
2019-01-13 19:35:12 id = 3 (machine1); Seed = 120; Starting new sample
