2019-01-11 19:30:44 ===== Starting: ShallowRedExperiment =====
2019-01-11 19:36:21 Run
2019-01-11 20:56:13 id = 4 (machine1); Seed = 97; Starting new sample
2019-01-11 20:56:19 id = 1 (machine1); Seed = 94; Done (0)
2019-01-11 20:56:19 id = 1 (machine1); Seed = 98; Starting new sample
2019-01-11 20:57:47 id = 2 (machine1); Seed = 79; Done (1)
2019-01-11 20:57:47 id = 2 (machine1); Seed = 99; Starting new sample
2019-01-11 20:57:57 id = 3 (machine1); Seed = 95; Done (0)
2019-01-11 20:57:57 id = 3 (machine1); Seed = 100; Starting new sample
2019-01-11 20:58:21 id = 4 (machine1); Seed = 97; Done (0)
2019-01-11 20:58:22 id = 4 (machine1); Seed = 101; Starting new sample
2019-01-11 21:00:10 id = 2 (machine1); Seed = 99; Done (1)
2019-01-11 21:00:10 id = 2 (machine1); Seed = 102; Starting new sample
2019-01-11 21:00:56 id = 3 (machine1); Seed = 100; Done (1)
2019-01-11 21:00:56 id = 3 (machine1); Seed = 103; Starting new sample
2019-01-11 21:01:38 id = 1 (machine1); Seed = 98; Done (0)
2019-01-11 21:01:38 id = 1 (machine1); Seed = 104; Starting new sample
2019-01-11 21:01:45 id = 5 (machine1); Seed = 91; Done (0)
2019-01-11 21:01:45 id = 5 (machine1); Seed = 105; Starting new sample
2019-01-11 21:01:47 id = 4 (machine1); Seed = 101; Done (0)
2019-01-11 21:01:47 id = 4 (machine1); Seed = 106; Starting new sample
2019-01-11 21:02:12 id = 0 (machine1); Seed = 96; Done (0)
2019-01-11 21:02:12 id = 0 (machine1); Seed = 107; Starting new sample
2019-01-11 21:03:58 id = 3 (machine1); Seed = 103; Done (0)
2019-01-11 21:03:58 id = 3 (machine1); Seed = 108; Starting new sample
2019-01-11 21:04:18 id = 4 (machine1); Seed = 106; Done (0)
2019-01-11 21:04:18 id = 4 (machine1); Seed = 109; Starting new sample
2019-01-11 21:07:17 id = 4 (machine1); Seed = 109; Done (0)
2019-01-11 21:07:17 id = 4 (machine1); Seed = 110; Starting new sample
2019-01-11 21:08:01 id = 0 (machine1); Seed = 107; Done (0)
2019-01-11 21:08:01 id = 0 (machine1); Seed = 111; Starting new sample
2019-01-11 21:08:47 id = 2 (machine1); Seed = 102; Done (0)
2019-01-11 21:08:47 id = 2 (machine1); Seed = 112; Starting new sample
2019-01-11 21:09:03 id = 5 (machine1); Seed = 105; Done (1)
2019-01-11 21:09:03 id = 5 (machine1); Seed = 113; Starting new sample
2019-01-11 21:09:49 id = 4 (machine1); Seed = 110; Done (0)
2019-01-11 21:09:49 id = 4 (machine1); Seed = 114; Starting new sample
2019-01-11 21:10:06 id = 3 (machine1); Seed = 108; Done (0)
2019-01-11 21:10:06 id = 3 (machine1); Seed = 115; Starting new sample
2019-01-11 21:11:29 id = 2 (machine1); Seed = 112; Done (0)
2019-01-11 21:11:29 id = 2 (machine1); Seed = 116; Starting new sample
2019-01-11 21:13:38 id = 0 (machine1); Seed = 111; Done (0)
2019-01-11 21:13:38 id = 0 (machine1); Seed = 117; Starting new sample
2019-01-11 21:13:57 id = 2 (machine1); Seed = 116; Done (0)
2019-01-11 21:13:57 id = 2 (machine1); Seed = 118; Starting new sample
2019-01-11 21:14:39 id = 3 (machine1); Seed = 115; Done (0)
2019-01-11 21:14:39 id = 3 (machine1); Seed = 119; Starting new sample
2019-01-11 21:16:31 id = 1 (machine1); Seed = 104; Done (1)
2019-01-11 21:16:31 id = 1 (machine1); Seed = 120; Starting new sample
2019-01-11 21:16:49 id = 2 (machine1); Seed = 118; Done (0)
2019-01-11 21:16:49 id = 2 (machine1); Seed = 121; Starting new sample
2019-01-11 21:18:46 id = 1 (machine1); Seed = 120; Done (0)
2019-01-11 21:18:46 id = 1 (machine1); Seed = 122; Starting new sample
2019-01-11 21:19:25 id = 2 (machine1); Seed = 121; Done (0)
2019-01-11 21:19:25 id = 2 (machine1); Seed = 123; Starting new sample
2019-01-11 21:21:28 id = 4 (machine1); Seed = 114; Done (0)
2019-01-11 21:21:28 id = 4 (machine1); Seed = 124; Starting new sample
2019-01-11 21:21:35 id = 1 (machine1); Seed = 122; Done (0)
2019-01-11 21:21:35 id = 1 (machine1); Seed = 125; Starting new sample
2019-01-11 21:22:08 id = 2 (machine1); Seed = 123; Done (0)
2019-01-11 21:22:08 id = 2 (machine1); Seed = 126; Starting new sample
2019-01-11 21:22:26 id = 0 (machine1); Seed = 117; Done (1)
2019-01-11 21:22:26 id = 0 (machine1); Seed = 127; Starting new sample
2019-01-11 21:22:27 id = 3 (machine1); Seed = 119; Done (0)
2019-01-11 21:22:27 id = 3 (machine1); Seed = 128; Starting new sample
2019-01-11 21:23:28 id = 5 (machine1); Seed = 113; Done (0)
2019-01-11 21:23:28 id = 5 (machine1); Seed = 129; Starting new sample
2019-01-11 21:24:16 id = 1 (machine1); Seed = 125; Done (0)
2019-01-11 21:24:16 id = 1 (machine1); Seed = 130; Starting new sample
2019-01-11 21:24:19 id = 4 (machine1); Seed = 124; Done (0)
2019-01-11 21:24:19 id = 4 (machine1); Seed = 131; Starting new sample
2019-01-11 21:26:30 id = 5 (machine1); Seed = 129; Done (0)
2019-01-11 21:26:30 id = 5 (machine1); Seed = 132; Starting new sample
2019-01-11 21:27:09 id = 4 (machine1); Seed = 131; Done (0)
2019-01-11 21:27:09 id = 4 (machine1); Seed = 133; Starting new sample
2019-01-11 21:27:19 id = 0 (machine1); Seed = 127; Done (0)
2019-01-11 21:27:19 id = 0 (machine1); Seed = 134; Starting new sample
2019-01-11 21:28:19 id = 3 (machine1); Seed = 128; Done (0)
2019-01-11 21:28:19 id = 3 (machine1); Seed = 135; Starting new sample
2019-01-11 21:29:37 id = 1 (machine1); Seed = 130; Done (0)
2019-01-11 21:29:37 id = 1 (machine1); Seed = 136; Starting new sample
2019-01-11 21:30:05 id = 4 (machine1); Seed = 133; Done (0)
2019-01-11 21:30:05 id = 4 (machine1); Seed = 137; Starting new sample
2019-01-11 21:30:08 id = 0 (machine1); Seed = 134; Done (1)
2019-01-11 21:30:08 id = 0 (machine1); Seed = 138; Starting new sample
2019-01-11 21:30:24 id = 3 (machine1); Seed = 135; Done (0)
2019-01-11 21:30:24 id = 3 (machine1); Seed = 139; Starting new sample
2019-01-11 21:31:06 id = 1 (machine1); Seed = 136; Done (0)
2019-01-11 21:31:06 id = 1 (machine1); Seed = 140; Starting new sample
2019-01-11 21:32:13 id = 5 (machine1); Seed = 132; Done (0)
2019-01-11 21:32:13 id = 5 (machine1); Seed = 141; Starting new sample
2019-01-11 21:32:33 id = 3 (machine1); Seed = 139; Done (0)
2019-01-11 21:32:33 id = 3 (machine1); Seed = 142; Starting new sample
2019-01-11 21:34:33 id = 4 (machine1); Seed = 137; Done (0)
2019-01-11 21:34:33 id = 4 (machine1); Seed = 143; Starting new sample
2019-01-11 21:36:32 id = 4 (machine1); Seed = 143; Done (0)
2019-01-11 21:36:32 id = 4 (machine1); Seed = 144; Starting new sample
2019-01-11 21:36:53 id = 0 (machine1); Seed = 138; Done (0)
2019-01-11 21:36:53 id = 0 (machine1); Seed = 145; Starting new sample
2019-01-11 21:36:58 id = 5 (machine1); Seed = 141; Done (1)
2019-01-11 21:36:58 id = 5 (machine1); Seed = 146; Starting new sample
2019-01-11 21:37:08 id = 1 (machine1); Seed = 140; Done (0)
2019-01-11 21:37:08 id = 1 (machine1); Seed = 147; Starting new sample
2019-01-11 21:37:18 id = 3 (machine1); Seed = 142; Done (0)
2019-01-11 21:37:18 id = 3 (machine1); Seed = 148; Starting new sample
2019-01-11 21:39:46 id = 3 (machine1); Seed = 148; Done (0)
2019-01-11 21:39:46 id = 3 (machine1); Seed = 149; Starting new sample
2019-01-11 21:41:45 id = 2 (machine1); Seed = 126; Done (1)
2019-01-11 21:41:45 id = 2 (machine1); Seed = 150; Starting new sample
2019-01-11 21:42:11 id = 3 (machine1); Seed = 149; Done (0)
